period,base_thr,delta,bucket,n,wr,pnl,avg,pf
VAL,0.75,-0.05,all,3808,0.7505252100840336,205059.90624999997,53.84976529674369,4.464486191508998
VAL,0.75,-0.05,aligned,953,0.7334732423924449,52537.885416666664,55.128945872682756,4.207131102508407
VAL,0.75,-0.05,opposed,1231,0.7587327376116978,59640.76041666666,48.44903364473327,4.417094685327206
VAL,0.75,-0.05,neutral,1624,0.7543103448275862,92881.26041666667,57.192894345238095,4.663392049380971
VAL,0.75,-0.08,all,6561,0.7434842249657064,364435.78125,55.54576760402378,4.346798170645612
VAL,0.75,-0.08,aligned,1636,0.7237163814180929,90960.36458333333,55.59924485533822,4.075169162221764
VAL,0.75,-0.08,opposed,2054,0.7414800389483934,97803.85416666667,47.61628732554366,4.069576014520803
VAL,0.75,-0.08,neutral,2871,0.7561825148032044,175671.56250000003,61.18828369905957,4.702279920916024
VAL,0.75,-0.12,all,10693,0.7281399046104928,583513.0520833334,54.56962985909786,4.080106659833868
VAL,0.75,-0.12,aligned,2723,0.7021667278736687,146586.65625,53.832778644876974,3.827998601305849
VAL,0.75,-0.12,opposed,3257,0.7276634940128953,153324.29166666666,47.07531214819363,3.7439995704790867
VAL,0.75,-0.12,neutral,4713,0.743475493316359,283602.1041666666,60.17443330504278,4.469756088111494
OOS,0.75,-0.05,all,303,0.6270627062706271,20319.9375,67.0625,2.3307859815149854
OOS,0.75,-0.05,aligned,41,0.5609756097560976,1812.0520833333333,44.19639227642276,1.5465945653813284
OOS,0.75,-0.05,opposed,115,0.6086956521739131,7733.916666666667,67.25144927536232,2.2052191924471702
OOS,0.75,-0.05,neutral,147,0.6598639455782312,10773.96875,73.2923044217687,2.94583535573591
OOS,0.75,-0.08,all,525,0.6628571428571428,44724.20833333333,85.18896825396824,2.7781055899334977
OOS,0.75,-0.08,aligned,93,0.5913978494623656,6368.208333333333,68.47535842293907,1.976965683438751
OOS,0.75,-0.08,opposed,200,0.63,14952.854166666668,74.76427083333334,2.3742221694627084
OOS,0.75,-0.08,neutral,232,0.7198275862068966,23403.145833333336,100.87562859195404,4.0184300469685414
OOS,0.75,-0.12,all,867,0.6389850057670127,67501.96875,77.85694204152249,2.4227489606331574
OOS,0.75,-0.12,aligned,119,0.4957983193277311,2831.4583333333335,23.7937675070028,1.2457640910652612
OOS,0.75,-0.12,opposed,352,0.6448863636363636,29449.958333333336,83.66465435606061,2.539214864289533
OOS,0.75,-0.12,neutral,396,0.6767676767676768,35220.552083333336,88.94078808922559,3.0976345897817352
