period,base_thr,delta,bucket,n,wr,pnl,avg,pf
PURE_OOS_22_24,0.75,-0.05,all,2037,0.7707412862052038,176680.46875,86.73562530682376,4.586833500607134
PURE_OOS_22_24,0.75,-0.05,aligned,513,0.7602339181286549,45801.01041666667,89.28072205977908,4.350042286036465
PURE_OOS_22_24,0.75,-0.05,opposed,578,0.773356401384083,49330.0625,85.34612889273356,4.455681017158418
PURE_OOS_22_24,0.75,-0.05,neutral,946,0.7748414376321353,81549.39583333334,86.20443534179,4.82659278803526
PURE_OOS_22_24,0.75,-0.08,all,3683,0.7689383654629378,319086.9895833334,86.6377924472803,4.498874346709894
PURE_OOS_22_24,0.75,-0.08,aligned,911,0.75192096597146,80132.40625,87.96092892425905,4.270685428427844
PURE_OOS_22_24,0.75,-0.08,opposed,976,0.7612704918032787,81383.90625,83.38514984631148,4.127759308989763
PURE_OOS_22_24,0.75,-0.08,neutral,1796,0.7817371937639198,157570.6770833333,87.73423000185596,4.873706462756626
PURE_OOS_22_24,0.75,-0.12,all,6328,0.7495259165613148,515300.1145833333,81.43175009218288,4.226695096010022
PURE_OOS_22_24,0.75,-0.12,aligned,1592,0.7273869346733668,130106.71875,81.72532584798995,4.038146353566164
PURE_OOS_22_24,0.75,-0.12,opposed,1702,0.736192714453584,129265.47916666669,75.94916519780651,3.760606976060252
PURE_OOS_22_24,0.75,-0.12,neutral,3034,0.7686222808174028,255927.91666666666,84.35330147220391,4.653521921803674
OOS_2026,0.75,-0.05,all,303,0.6270627062706271,20319.9375,67.0625,2.3307859815149854
OOS_2026,0.75,-0.05,aligned,41,0.5609756097560976,1812.0520833333333,44.19639227642276,1.5465945653813284
OOS_2026,0.75,-0.05,opposed,115,0.6086956521739131,7733.916666666667,67.25144927536232,2.2052191924471702
OOS_2026,0.75,-0.05,neutral,147,0.6598639455782312,10773.96875,73.2923044217687,2.94583535573591
OOS_2026,0.75,-0.08,all,525,0.6628571428571428,44724.20833333333,85.18896825396824,2.7781055899334977
OOS_2026,0.75,-0.08,aligned,93,0.5913978494623656,6368.208333333333,68.47535842293907,1.976965683438751
OOS_2026,0.75,-0.08,opposed,200,0.63,14952.854166666668,74.76427083333334,2.3742221694627084
OOS_2026,0.75,-0.08,neutral,232,0.7198275862068966,23403.145833333336,100.87562859195404,4.0184300469685414
OOS_2026,0.75,-0.12,all,867,0.6389850057670127,67501.96875,77.85694204152249,2.4227489606331574
OOS_2026,0.75,-0.12,aligned,119,0.4957983193277311,2831.4583333333335,23.7937675070028,1.2457640910652612
OOS_2026,0.75,-0.12,opposed,352,0.6448863636363636,29449.958333333336,83.66465435606061,2.539214864289533
OOS_2026,0.75,-0.12,neutral,396,0.6767676767676768,35220.552083333336,88.94078808922559,3.0976345897817352
