period,regime,bucket,n,wr,pnl,avg,pf
VAL,all,aligned,1167,0.7763496143958869,75395.1875,64.60598757497858,5.785021261066861
VAL,all,opposed,1980,0.8343434343434344,119854.33333333334,60.53249158249159,6.981526228015089
VAL,all,neutral,2794,0.8085182534001432,204147.2604166667,73.06630651992366,6.56643173713038
VAL,bull,aligned,1079,0.7877664504170528,73131.85416666667,67.77743666975596,5.807128947707173
VAL,bull,opposed,1944,0.8348765432098766,118220.0,60.81275720164609,6.946231421170435
VAL,bull,neutral,2771,0.8116203536629376,204265.36458333334,73.7153968182365,6.639995570716105
VAL,bear,aligned,88,0.6363636363636364,2263.3333333333335,25.719696969696972,5.165963647518981
VAL,bear,opposed,36,0.8055555555555556,1634.3333333333335,45.39814814814815,11.482095136290754
VAL,bear,neutral,23,0.43478260869565216,-118.10416666666666,-5.1349637681159415,0.7418017853889596
VAL,high_vol,aligned,153,0.7777777777777778,12109.65625,79.14808006535948,5.100016928708974
VAL,high_vol,opposed,465,0.8602150537634409,43050.53125,92.5817876344086,7.338592422862086
VAL,high_vol,neutral,398,0.821608040201005,29178.645833333336,73.31318048576215,5.408579981302704
VAL,low_vol,aligned,1014,0.7761341222879684,63285.53125,62.41176651873767,5.943047738067923
VAL,low_vol,opposed,1515,0.8264026402640264,76803.80208333333,50.695578932893284,6.7984370600938355
VAL,low_vol,neutral,2396,0.8063439065108514,174968.61458333334,73.02529824012242,6.821400325641006
VAL,bear_or_hv,aligned,226,0.7212389380530974,12979.593750000002,57.4318307522124,4.779523904853768
VAL,bear_or_hv,opposed,495,0.8585858585858586,44491.65625,89.88213383838384,7.444972069568053
VAL,bear_or_hv,neutral,417,0.7985611510791367,28879.69791666667,69.255870303757,5.081347214330088
VAL,bull_lv,aligned,941,0.7895855472901169,62415.59375,66.32900504782147,6.065250029164575
VAL,bull_lv,opposed,1485,0.8262626262626263,75362.67708333334,50.74927749719417,6.73793812863141
VAL,bull_lv,neutral,2377,0.8102650399663441,175267.5625,73.73477597812368,6.921464000726384
OOS,all,aligned,177,0.8870056497175142,17111.739583333336,96.67649482109229,11.937222029880955
OOS,all,opposed,318,0.7704402515723271,29557.239583333336,92.94729428721175,5.058225447514001
OOS,all,neutral,586,0.7747440273037542,47589.34375,81.21048421501706,5.726528116600558
OOS,bull,aligned,163,0.8773006134969326,13742.864583333334,84.3120526584867,9.783955631308423
OOS,bull,opposed,165,0.8181818181818182,16196.125,98.15833333333333,6.118269800513531
OOS,bull,neutral,561,0.7718360071301248,43736.63541666667,77.96191696375521,5.6243515669227
OOS,bear,aligned,14,1.0,3368.875,240.63392857142858,inf
OOS,bear,opposed,153,0.7189542483660131,13361.114583333332,87.32754629629629,4.243841928500617
OOS,bear,neutral,25,0.84,3852.708333333333,154.10833333333332,7.309020196506549
OOS,high_vol,aligned,6,0.6666666666666666,608.3958333333333,101.39930555555554,2.931926435564964
OOS,high_vol,opposed,42,0.7142857142857143,4128.593750000001,98.29985119047622,4.073299525448963
OOS,high_vol,neutral,22,0.8181818181818182,3160.583333333333,143.66287878787878,6.175627729257641
OOS,low_vol,aligned,171,0.8947368421052632,16503.34375,96.51078216374269,14.206636991097326
OOS,low_vol,opposed,276,0.7789855072463768,25428.645833333336,92.13277475845412,5.280976865556475
OOS,low_vol,neutral,564,0.7730496453900709,44428.76041666667,78.77439790189126,5.69753116333575
OOS,bear_or_hv,aligned,18,0.8888888888888888,3532.770833333333,196.26504629629628,12.218113257475522
OOS,bear_or_hv,opposed,153,0.7189542483660131,13361.114583333332,87.32754629629629,4.243841928500617
OOS,bear_or_hv,neutral,25,0.84,3852.708333333333,154.10833333333332,7.309020196506549
OOS,bull_lv,aligned,159,0.8867924528301887,13578.96875,85.40231918238993,11.86643493047914
OOS,bull_lv,opposed,165,0.8181818181818182,16196.125,98.15833333333333,6.118269800513531
OOS,bull_lv,neutral,561,0.7718360071301248,43736.63541666667,77.96191696375521,5.6243515669227
