period,regime,bucket,n,wr,pnl,avg,pf
PURE_OOS_22_24,all,aligned,682,0.8152492668621701,67818.69791666666,99.44090603616812,6.152825484764541
PURE_OOS_22_24,all,opposed,1141,0.8404907975460123,104401.90625,91.5003560473269,6.966973987840512
PURE_OOS_22_24,all,neutral,2040,0.821078431372549,191168.875,93.71023284313725,6.698549234188665
PURE_OOS_22_24,bull,aligned,666,0.8153153153153153,66118.02083333333,99.27630755755754,6.047642753307398
PURE_OOS_22_24,bull,opposed,1132,0.8409893992932862,103405.63541666666,91.34773446702002,6.925074548827392
PURE_OOS_22_24,bull,neutral,2031,0.8217626784835057,191203.75,94.14266371245692,6.743719338298659
PURE_OOS_22_24,bear,aligned,16,0.8125,1700.6770833333333,106.29231770833333,28.138464095744684
PURE_OOS_22_24,bear,opposed,9,0.7777777777777778,996.2708333333334,110.69675925925927,23.43011257035647
PURE_OOS_22_24,bear,neutral,9,0.6666666666666666,-34.875,-3.875,0.864694471387003
PURE_OOS_22_24,high_vol,aligned,129,0.7984496124031008,11855.71875,91.90479651162791,5.2148983446283745
PURE_OOS_22_24,high_vol,opposed,429,0.8601398601398601,42305.53125,98.61429195804196,7.328959056016307
PURE_OOS_22_24,high_vol,neutral,367,0.8310626702997275,28594.604166666668,77.91445277020891,5.4512437165558625
PURE_OOS_22_24,low_vol,aligned,553,0.8191681735985533,55962.979166666664,101.19887733574441,6.407758664076419
PURE_OOS_22_24,low_vol,opposed,712,0.8286516853932584,62096.375,87.21400983146067,6.743183328997948
PURE_OOS_22_24,low_vol,neutral,1673,0.8188882247459653,162574.2708333333,97.17529637377963,6.993968060600522
PURE_OOS_22_24,bear_or_hv,aligned,130,0.8,12163.0,93.56153846153846,5.324141762026441
PURE_OOS_22_24,bear_or_hv,opposed,432,0.8611111111111112,43108.59375,99.78841145833333,7.44909818515021
PURE_OOS_22_24,bear_or_hv,neutral,372,0.8252688172043011,28378.88541666667,76.2873263888889,5.247249954789505
PURE_OOS_22_24,bull_lv,aligned,552,0.8188405797101449,55655.69791666666,100.82553970410626,6.378065769474669
PURE_OOS_22_24,bull_lv,opposed,709,0.8279266572637518,61293.3125,86.45037023977433,6.668909506055089
PURE_OOS_22_24,bull_lv,neutral,1668,0.8201438848920863,162789.9895833333,97.59591701638688,7.059504967309821
OOS_2026,all,aligned,177,0.8870056497175142,17111.739583333336,96.67649482109229,11.937222029880955
OOS_2026,all,opposed,318,0.7704402515723271,29557.239583333336,92.94729428721175,5.058225447514001
OOS_2026,all,neutral,586,0.7747440273037542,47589.34375,81.21048421501706,5.726528116600558
OOS_2026,bull,aligned,163,0.8773006134969326,13742.864583333334,84.3120526584867,9.783955631308423
OOS_2026,bull,opposed,165,0.8181818181818182,16196.125,98.15833333333333,6.118269800513531
OOS_2026,bull,neutral,561,0.7718360071301248,43736.63541666667,77.96191696375521,5.6243515669227
OOS_2026,bear,aligned,14,1.0,3368.875,240.63392857142858,inf
OOS_2026,bear,opposed,153,0.7189542483660131,13361.114583333332,87.32754629629629,4.243841928500617
OOS_2026,bear,neutral,25,0.84,3852.708333333333,154.10833333333332,7.309020196506549
OOS_2026,high_vol,aligned,6,0.6666666666666666,608.3958333333333,101.39930555555554,2.931926435564964
OOS_2026,high_vol,opposed,42,0.7142857142857143,4128.593750000001,98.29985119047622,4.073299525448963
OOS_2026,high_vol,neutral,22,0.8181818181818182,3160.583333333333,143.66287878787878,6.175627729257641
OOS_2026,low_vol,aligned,171,0.8947368421052632,16503.34375,96.51078216374269,14.206636991097326
OOS_2026,low_vol,opposed,276,0.7789855072463768,25428.645833333336,92.13277475845412,5.280976865556475
OOS_2026,low_vol,neutral,564,0.7730496453900709,44428.76041666667,78.77439790189126,5.69753116333575
OOS_2026,bear_or_hv,aligned,18,0.8888888888888888,3532.770833333333,196.26504629629628,12.218113257475522
OOS_2026,bear_or_hv,opposed,153,0.7189542483660131,13361.114583333332,87.32754629629629,4.243841928500617
OOS_2026,bear_or_hv,neutral,25,0.84,3852.708333333333,154.10833333333332,7.309020196506549
OOS_2026,bull_lv,aligned,159,0.8867924528301887,13578.96875,85.40231918238993,11.86643493047914
OOS_2026,bull_lv,opposed,165,0.8181818181818182,16196.125,98.15833333333333,6.118269800513531
OOS_2026,bull_lv,neutral,561,0.7718360071301248,43736.63541666667,77.96191696375521,5.6243515669227
