n,wr,pnl,avg,pf,max_dd,days,per_day,wins,losses,gross_win,gross_loss,period,base_thr,delta,kind
14439,0.7687512985663827,870808.6458333333,60.309484440289026,4.984567181278257,-1931.1249999998836,756,19.099206349206348,11100,3339,1089354.0,218545.3541666667,VAL,0.65,0.0,baseline
14741,0.7657553761617258,882737.1145833333,59.883122894195324,4.928151701255122,-1931.1249999998836,767,19.21903520208605,11288,3453,1107457.84375,224720.7291666667,VAL,0.65,-0.02,overlay
325,0.6092307692307692,11582.739583333334,35.63919871794872,2.588421924774653,0.0,136,2.389705882352941,198,127,18874.71875,7291.979166666665,VAL,0.65,-0.02,marginal
15227,0.7604912326787943,903784.6145833334,59.35408252336858,4.8429783997097235,-1931.1249999998836,783,19.44699872286079,11580,3647,1138962.78125,235178.1666666667,VAL,0.65,-0.05,overlay
861,0.6085946573751452,36170.322916666664,42.00966656987998,2.880862747732034,0.0,196,4.392857142857143,524,337,55401.03125,19230.708333333336,VAL,0.65,-0.05,marginal
15812,0.7561345813306349,929841.6041666666,58.806071601737074,4.74994881170479,-1931.1249999998836,795,19.889308176100627,11956,3856,1177802.75,247961.14583333334,VAL,0.65,-0.08,overlay
1473,0.6171079429735234,62166.03125000001,42.203687202987105,2.851184981425923,0.0,225,6.546666666666667,909,564,95747.78125,33581.75,VAL,0.65,-0.08,marginal
16649,0.7476124692173705,964409.8125,57.925990299717704,4.59716410099204,-1931.1249999998836,815,20.428220858895706,12447,4202,1232512.625,268102.8125,VAL,0.65,-0.12,overlay
2316,0.603195164075993,96626.10416666667,41.721115788716176,2.8051731358433694,0.0,252,9.19047619047619,1397,919,150153.4375,53527.33333333334,VAL,0.65,-0.12,marginal
9688,0.7877786952931461,599449.8125,61.875496748554916,5.625165766664191,-1572.9895833333721,566,17.11660777385159,7632,2056,729055.9375,129606.12500000001,VAL,0.7,0.0,baseline
9936,0.7863325281803543,614101.5416666666,61.805710715244224,5.575038747610188,-1572.9895833333721,579,17.16062176165803,7813,2123,748330.25,134228.70833333334,VAL,0.7,-0.02,overlay
256,0.72265625,15012.84375,58.6439208984375,3.8380337437085,0.0,104,2.4615384615384617,185,71,20302.71875,5289.875,VAL,0.7,-0.02,marginal
10344,0.7812258313998454,635794.59375,61.465061267401396,5.450188896656293,-1316.5833333333721,604,17.125827814569536,8081,2263,778663.71875,142869.125,VAL,0.7,-0.05,overlay
674,0.6824925816023739,36989.55208333333,54.88064107319485,3.671115520766417,0.0,149,4.523489932885906,460,214,50837.53125,13847.979166666668,VAL,0.7,-0.05,marginal
10863,0.7752922765350272,662806.6666666667,61.01506643345915,5.309602159872679,-1481.8958333333721,621,17.492753623188406,8422,2441,816604.3125,153797.64583333334,VAL,0.7,-0.08,overlay
1193,0.6714165968147527,63403.34375000001,53.14613893545684,3.584456627798258,0.0,180,6.627777777777778,801,392,87935.90625,24532.5625,VAL,0.7,-0.08,marginal
11530,0.7656548135299219,690118.7916666666,59.85418834923388,5.124916896360002,-1481.8958333333721,642,17.9595015576324,8828,2702,857423.6875,167304.8958333333,VAL,0.7,-0.12,overlay
1872,0.6479700854700855,90726.17708333333,48.46483818554131,3.343283513825021,0.0,204,9.176470588235293,1213,659,129443.71875,38717.541666666664,VAL,0.7,-0.12,marginal
5941,0.8108062615721259,399396.78125000006,67.22719765191046,6.511306185952886,-815.729166666657,382,15.552356020942408,4817,1124,471865.40625,72468.625,VAL,0.75,0.0,baseline
6123,0.8100604278948228,409756.9375,66.92094357341172,6.481679827157769,-815.729166666657,390,15.7,4960,1163,484507.1875,74750.25,VAL,0.75,-0.02,overlay
183,0.7814207650273224,10155.406249999998,55.49402322404371,5.084422603187371,0.0,71,2.5774647887323945,143,40,12641.78125,2486.375,VAL,0.75,-0.02,marginal
6485,0.8058596761757902,429424.68750000006,66.21814764841943,6.323416292572717,-931.5729166666861,404,16.051980198019802,5226,1259,510091.8125,80667.12500000001,VAL,0.75,-0.05,overlay
558,0.7526881720430108,31446.895833333336,56.356444145758665,4.696056513914225,0.0,100,5.58,420,138,39955.125,8508.229166666666,VAL,0.75,-0.05,marginal
6849,0.7988027449262666,447789.1875,65.38022886552781,6.098885090126507,-1084.885416666686,425,16.11529411764706,5471,1378,535610.1875,87821.0,VAL,0.75,-0.08,overlay
923,0.7204767063921993,49799.125,53.95354821235103,4.1771043502532,0.0,125,7.384,665,258,65473.5,15674.375,VAL,0.75,-0.08,marginal
7408,0.7883369330453563,475685.2916666667,64.21237738480922,5.79810966252109,-1244.072916666686,454,16.31718061674009,5840,1568,574825.4375,99140.14583333334,VAL,0.75,-0.12,overlay
1484,0.6974393530997305,77863.36458333333,52.46857451707098,3.8824627067114807,0.0,160,9.275,1035,449,104876.15625,27012.791666666668,VAL,0.75,-0.12,marginal
