n,wr,pnl,avg,pf,max_dd,days,per_day,wins,losses,gross_win,gross_loss,period,base_thr,delta,kind
21524,0.830514774205538,2200015.5,102.2122049804869,6.955102564922426,-2977.760416666977,867,24.825836216839676,17876,3648,2569449.1875,369433.6875,FULL_22_26,0.65,0.0,baseline
21858,0.8276603531887639,2222562.395833333,101.68187372281696,6.818518743143608,-3675.447916666977,879,24.866894197952217,18091,3767,2604543.1875,381980.7916666666,FULL_22_26,0.65,-0.02,overlay
346,0.6329479768786127,21583.458333333336,62.37993737957611,2.53895037062345,0.0,134,2.582089552238806,219,127,35608.25,14024.791666666664,FULL_22_26,0.65,-0.02,marginal
22362,0.824121277166622,2264440.375,101.26287340130578,6.724459976072669,-3686.0937500009313,892,25.069506726457398,18429,3933,2660013.125,395572.75,FULL_22_26,0.65,-0.05,overlay
893,0.6539753639417694,66292.97916666667,74.23625886524823,3.241779833680419,0.0,197,4.532994923857868,584,309,95864.5625,29571.583333333336,FULL_22_26,0.65,-0.05,marginal
22956,0.8197856769472034,2306094.7604166665,100.45716851440436,6.568336743561334,-3746.6875000004657,905,25.36574585635359,18819,4137,2720239.03125,414144.2708333334,FULL_22_26,0.65,-0.08,overlay
1503,0.6513639387890885,107699.83333333333,71.65657573741406,3.165752189069587,0.0,234,6.423076923076923,979,524,157428.4375,49728.60416666667,FULL_22_26,0.65,-0.08,marginal
23790,0.8131147540983606,2362133.666666667,99.29103264677036,6.343512780045378,-3752.5000000004657,923,25.774647887323944,19344,4446,2804190.0,442056.3333333334,FULL_22_26,0.65,-0.12,overlay
2366,0.6449704142011834,168146.21875,71.0677171386306,3.1524679050729425,0.0,268,8.828358208955224,1526,840,246264.09375,78117.875,FULL_22_26,0.65,-0.12,marginal
17123,0.8548735618758395,1789227.3124999998,104.49263052619283,8.596499696168001,-2738.8125,679,25.217967599410898,14638,2485,2024760.4375,235533.125,FULL_22_26,0.7,0.0,baseline
17382,0.8526636750661604,1810920.2604166665,104.18365322843553,8.417281906583426,-3011.5208333332557,691,25.154848046309695,14821,2561,2055069.03125,244148.7708333333,FULL_22_26,0.7,-0.02,overlay
267,0.700374531835206,22054.0625,82.5994850187266,3.375763329226336,0.0,98,2.7244897959183674,187,80,31337.0,9282.9375,FULL_22_26,0.7,-0.02,marginal
17808,0.849337376460018,1851921.7395833335,103.99380837732106,8.257346193700041,-3011.5208333332557,715,24.906293706293706,15125,2683,2107100.65625,255178.91666666666,FULL_22_26,0.7,-0.05,overlay
703,0.7083926031294452,64057.635416666664,91.1203917733523,4.081552077675042,0.0,146,4.815068493150685,498,205,84845.09375,20787.45833333333,FULL_22_26,0.7,-0.05,marginal
18343,0.8449544785476749,1899211.875,103.53878182412909,8.026847220584257,-3050.2083333332557,730,25.127397260273973,15499,2844,2169491.25,270279.375,FULL_22_26,0.7,-0.08,overlay
1235,0.7044534412955465,110484.61458333334,89.46122638326587,4.082316697509625,0.0,180,6.861111111111111,870,365,146329.28125,35844.666666666664,FULL_22_26,0.7,-0.08,marginal
19038,0.837220296249606,1944981.1458333333,102.16310252302412,7.626467529071636,-3368.25,753,25.282868525896415,15939,3099,2238498.1875,293517.0416666667,FULL_22_26,0.7,-0.12,overlay
1942,0.6766220391349125,155892.4270833333,80.2741643065568,3.5961716473681404,0.0,217,8.949308755760368,1314,628,215939.46875,60047.04166666666,FULL_22_26,0.7,-0.12,marginal
13731,0.8783773942174641,1458026.84375,106.18504433398878,10.898786054713888,-815.729166666657,489,28.079754601226995,12061,1670,1605320.34375,147293.5,FULL_22_26,0.75,0.0,baseline
13908,0.8771210813920046,1476330.7291666665,106.14975044338989,10.738139317312134,-815.729166666657,498,27.927710843373493,12199,1709,1627933.6875,151602.95833333334,FULL_22_26,0.75,-0.02,overlay
178,0.7752808988764045,18099.135416666664,101.68053604868912,5.009370875291902,0.0,75,2.3733333333333335,138,40,22613.34375,4514.208333333334,FULL_22_26,0.75,-0.02,marginal
14252,0.8744035924782486,1509927.71875,105.94497044274488,10.446210328220692,-931.572916666657,514,27.72762645914397,12462,1790,1669772.53125,159844.8125,FULL_22_26,0.75,-0.05,overlay
535,0.77196261682243,53758.65625,100.48346962616823,5.183837907250493,0.0,113,4.734513274336283,413,122,66607.78125,12849.125000000002,FULL_22_26,0.75,-0.05,marginal
14663,0.8694673668417104,1544119.7083333335,105.3072160085476,9.966734604772379,-1920.1875,535,27.40747663551402,12749,1914,1716325.0625,172205.35416666666,FULL_22_26,0.75,-0.08,overlay
944,0.739406779661017,87506.14583333334,92.69718838276837,4.471134584617013,0.0,142,6.647887323943662,698,246,112715.8125,25209.666666666664,FULL_22_26,0.75,-0.08,marginal
15264,0.862814465408805,1598393.40625,104.71654915159853,9.460552063356479,-1570.0,564,27.06382978723404,13170,2094,1787316.46875,188923.0625,FULL_22_26,0.75,-0.12,overlay
1546,0.7244501940491591,141967.25,91.82875161707632,4.38602762514944,0.0,179,8.636871508379889,1120,426,183894.625,41927.375,FULL_22_26,0.75,-0.12,marginal
1638,0.7374847374847375,137385.78125,83.87410332722833,3.7269938802524316,-2896.291666666657,68,24.08823529411765,1208,430,187765.71875,50379.9375,OOS_2026,0.65,0.0,baseline
1677,0.731067382230173,138256.15625,82.4425499403697,3.513045784928304,-3175.6875,70,23.957142857142856,1226,451,193271.53125,55015.375,OOS_2026,0.65,-0.02,overlay
41,0.43902439024390244,320.31249999999955,7.812499999999989,1.061770803201234,0.0,7,5.857142857142857,18,23,5505.8125,5185.500000000001,OOS_2026,0.65,-0.02,marginal
1701,0.7301587301587301,140955.35416666666,82.86616941015089,3.502857483187848,-3686.093749999971,70,24.3,1242,459,197273.125,56317.770833333336,OOS_2026,0.65,-0.05,overlay
67,0.5074626865671642,2484.28125,37.078824626865675,1.3537287532259499,0.0,9,7.444444444444445,34,33,9507.40625,7023.125,OOS_2026,0.65,-0.05,marginal
1723,0.7283807312826466,143036.97916666666,83.0162386341652,3.4526563932266456,-3746.6874999999854,72,23.930555555555557,1255,468,201356.1875,58319.208333333336,OOS_2026,0.65,-0.08,overlay
90,0.5222222222222223,4330.635416666666,48.11817129629629,1.4676796288630103,0.0,12,7.5,47,43,13590.46875,9259.833333333334,OOS_2026,0.65,-0.08,marginal
1809,0.7274737423991156,153937.42708333334,85.09531624285978,3.4348022006483583,-3752.520833333314,72,25.125,1316,493,217161.21875,63223.791666666664,OOS_2026,0.65,-0.12,overlay
177,0.6101694915254238,14965.708333333332,84.55202448210922,2.037139598342549,0.0,15,11.8,108,69,29395.5,14429.791666666668,OOS_2026,0.65,-0.12,marginal
1342,0.7593144560357675,111399.83333333333,83.01030799801292,4.459940030722284,-2738.8125,55,24.4,1019,323,143596.875,32197.04166666667,OOS_2026,0.7,0.0,baseline
1371,0.7549234135667396,112631.58333333333,82.15286895210309,4.282136773203399,-3011.5208333333285,56,24.482142857142858,1035,336,146948.125,34316.54166666667,OOS_2026,0.7,-0.02,overlay
29,0.5517241379310345,1231.75,42.474137931034484,1.5811512149091766,0.0,5,5.8,16,13,3351.25,2119.5,OOS_2026,0.7,-0.02,marginal
1392,0.7535919540229885,115424.42708333333,82.91984704262451,4.260555928604511,-3011.5208333333285,58,24.0,1049,343,150824.65625,35400.22916666667,OOS_2026,0.7,-0.05,overlay
55,0.6,4475.291666666666,81.36893939393939,2.27070529011955,0.0,9,6.111111111111111,33,22,7997.1875,3521.8958333333326,OOS_2026,0.7,-0.05,marginal
1420,0.7535211267605634,119410.94791666666,84.092216842723,4.270534112014881,-3050.2083333333285,58,24.482758620689655,1070,350,155922.09375,36511.145833333336,OOS_2026,0.7,-0.08,overlay
84,0.6428571428571429,8223.145833333334,97.89459325396827,2.6880182696049704,0.0,11,7.636363636363637,54,30,13094.625,4871.479166666668,OOS_2026,0.7,-0.08,marginal
1476,0.7398373983739838,118232.11458333334,80.10305866079494,3.725228649386346,-3368.25,60,24.6,1092,384,161616.40625,43384.29166666667,OOS_2026,0.7,-0.12,overlay
141,0.5390070921985816,6770.125,48.01507092198582,1.5632940026312916,0.0,15,9.4,76,65,18788.9375,12018.8125,OOS_2026,0.7,-0.12,marginal
1081,0.7918593894542091,94258.32291666667,87.19548835954363,5.982890173537726,-778.6979166666715,41,26.365853658536587,856,225,113174.71875,18916.395833333336,OOS_2026,0.75,0.0,baseline
1090,0.789908256880734,94564.625,86.75653669724771,5.79501684398006,-778.6979166666715,43,25.348837209302324,861,229,114286.0625,19721.4375,OOS_2026,0.75,-0.02,overlay
9,0.5555555555555556,306.30208333333326,34.03356481481481,1.380479788830806,0.0,5,1.8,5,4,1111.34375,805.0416666666666,OOS_2026,0.75,-0.02,marginal
1095,0.7881278538812785,94510.92708333334,86.31134893455099,5.642536828478303,-854.0,45,24.333333333333332,863,232,114868.53125,20357.604166666664,OOS_2026,0.75,-0.05,overlay
16,0.5625,697.1041666666667,43.56901041666667,1.4836942380525604,0.0,8,2.0,9,7,2138.3125,1441.208333333333,OOS_2026,0.75,-0.05,marginal
1119,0.7828418230563002,95265.52083333334,85.13451370271076,5.272192019253497,-1672.5,48,23.3125,876,243,117564.5,22298.979166666668,OOS_2026,0.75,-0.08,overlay
42,0.5238095238095238,1171.0937499999998,27.88318452380952,1.3167258282623395,0.0,11,3.8181818181818183,22,20,4868.59375,3697.5,OOS_2026,0.75,-0.08,marginal
1174,0.7759795570698467,100520.23958333333,85.62200986655309,4.93690752251598,-1570.0,51,23.019607843137255,911,263,126053.03125,25532.791666666664,OOS_2026,0.75,-0.12,overlay
93,0.5913978494623656,6261.916666666667,67.33243727598567,1.9464241294511424,0.0,16,5.8125,55,38,12878.3125,6616.395833333334,OOS_2026,0.75,-0.12,marginal
