n,wr,pnl,avg,pf,max_dd,days,per_day,wins,losses,gross_win,gross_loss,period,base_thr,delta,kind
8770,0.7887115165336374,776673.375,88.560248004561,5.138639449574589,-1931.1249999998836,556,15.773381294964029,6917,1853,964337.3125,187663.9375,PURE_OOS_22_24,0.65,0.0,baseline
8973,0.7854675136520674,787494.3333333333,87.76265834540658,5.0862498971673755,-1931.1249999998836,566,15.853356890459365,7048,1925,980212.4375,192718.1041666667,PURE_OOS_22_24,0.65,-0.02,overlay
213,0.6338028169014085,10407.583333333332,48.861893583724566,2.739877266426587,0.0,95,2.2421052631578946,135,78,16389.375,5981.791666666665,PURE_OOS_22_24,0.65,-0.02,marginal
9306,0.779819471308833,806895.8333333334,86.70705279747834,5.009718320678493,-1931.1249999998836,579,16.072538860103627,7257,2049,1008130.875,201235.0416666667,PURE_OOS_22_24,0.65,-0.05,overlay
587,0.6320272572402045,33175.854166666664,56.51763912549687,3.0841286252748406,0.0,137,4.2846715328467155,371,216,49094.1875,15918.333333333332,PURE_OOS_22_24,0.65,-0.05,marginal
9732,0.7738388820386354,830740.9479166666,85.36179078469652,4.9112668980272876,-1931.1249999998836,590,16.494915254237288,7531,2201,1043137.84375,212396.89583333334,PURE_OOS_22_24,0.65,-0.08,overlay
1028,0.632295719844358,57008.70833333333,55.45594195849546,3.005201295560799,0.0,163,6.306748466257669,650,378,85439.125,28430.416666666668,PURE_OOS_22_24,0.65,-0.08,marginal
10338,0.765041594118785,863351.7291666666,83.51245203778939,4.770825244445545,-1931.1249999998836,608,17.00328947368421,7909,2429,1092307.375,228955.6458333333,PURE_OOS_22_24,0.65,-0.12,overlay
1635,0.6281345565749236,89793.84375,54.919782110091745,3.013707126247966,0.0,188,8.696808510638299,1027,608,134385.15625,44591.3125,PURE_OOS_22_24,0.65,-0.12,marginal
5848,0.8076265389876881,535180.6458333333,91.51515831623345,5.801560615969857,-1572.989583333314,399,14.656641604010025,4723,1125,646640.375,111459.72916666666,PURE_OOS_22_24,0.7,0.0,baseline
5998,0.806268756252084,548447.6145833333,91.43841523563408,5.755387126532873,-1572.989583333314,409,14.665036674816626,4836,1162,663779.46875,115331.85416666667,PURE_OOS_22_24,0.7,-0.02,overlay
