thr,trades,wr,pnl,dd,n_oos_pre_friend,G1,G2,G3,G4,all_pass,binding_gates,passing
0.4,478.0,0.4309623430962343,-2533.75,-3716.25,1462.0,False,False,True,False,False,"['G1 DD>870.0', 'G2 PnL<-2280 or trades>507', 'G4 WR<0.55']",1
0.45,484.0,0.43388429752066116,-2363.75,-3690.0,1472.0,False,False,True,False,False,"['G1 DD>870.0', 'G2 PnL<-2280 or trades>507', 'G4 WR<0.55']",1
0.5,486.0,0.43415637860082307,-2303.75,-3630.0,1474.0,False,False,True,False,False,"['G1 DD>870.0', 'G2 PnL<-2280 or trades>507', 'G4 WR<0.55']",1
0.55,487.0,0.4353182751540041,-2241.25,-3567.5,1475.0,False,True,True,False,False,"['G1 DD>870.0', 'G4 WR<0.55']",2
0.6,488.0,0.4364754098360656,-2233.75,-3560.0,1476.0,False,True,True,False,False,"['G1 DD>870.0', 'G4 WR<0.55']",2
0.65,489.0,0.4376278118609407,-2232.5,-3558.75,1477.0,False,True,True,False,False,"['G1 DD>870.0', 'G4 WR<0.55']",2
0.7,489.0,0.4376278118609407,-2232.5,-3558.75,1477.0,False,True,True,False,False,"['G1 DD>870.0', 'G4 WR<0.55']",2
0.75,489.0,0.4376278118609407,-2232.5,-3558.75,1477.0,False,True,True,False,False,"['G1 DD>870.0', 'G4 WR<0.55']",2
0.8,489.0,0.4376278118609407,-2232.5,-3558.75,1477.0,False,True,True,False,False,"['G1 DD>870.0', 'G4 WR<0.55']",2
0.85,489.0,0.4376278118609407,-2232.5,-3558.75,1477.0,False,True,True,False,False,"['G1 DD>870.0', 'G4 WR<0.55']",2
