ts,side,size,mfe_points,exit_reason,sized_pnl_no_be,sized_pnl_with_be,sized_pnl_v6be_applied,v6_be_proba,v6_be_disable,regime
2026-01-02 14:01:00-05:00,LONG,10,62.75,take,1175.0,1175.0,1175.0,0.564829365131719,False,neutral
2026-01-07 13:02:00-05:00,LONG,10,48.25,take,1175.0,1175.0,1175.0,0.1287691843411092,False,neutral
2026-01-14 08:05:00-05:00,LONG,4,5.75,horizon,-55.0,-55.0,-55.0,0.9376552325128756,True,dead_tape
2026-01-15 14:02:00-05:00,LONG,10,52.5,take,1175.0,1175.0,1175.0,0.5097183372362564,False,neutral
2026-01-19 08:15:00-05:00,LONG,1,2.75,horizon,1.25,1.25,1.25,0.5175747186286079,False,dead_tape
2026-01-20 08:05:00-05:00,LONG,10,51.5,take,1175.0,1175.0,1175.0,0.6208730078961044,True,neutral
2026-01-20 12:49:00-05:00,LONG,10,50.25,take,1175.0,1175.0,1175.0,0.326770180734213,False,whipsaw
2026-01-20 13:43:00-05:00,LONG,10,50.0,take,1175.0,1175.0,1175.0,0.215473377303469,False,neutral
2026-01-21 12:17:00-05:00,LONG,10,61.25,take,1175.0,1175.0,1175.0,0.38993017189825807,False,neutral
2026-01-21 14:29:00-05:00,LONG,10,67.5,take,1175.0,1175.0,1175.0,0.40027879587306076,False,calm_trend
2026-01-22 13:17:00-05:00,LONG,10,56.5,take,1175.0,1175.0,1175.0,0.4302164493607413,False,calm_trend
2026-01-22 14:03:00-05:00,LONG,10,55.75,take,1175.0,1175.0,1175.0,0.16420611306045527,False,neutral
2026-01-23 12:46:00-05:00,LONG,10,45.0,take,1175.0,1175.0,1175.0,0.4780902528010058,False,neutral
2026-02-06 14:45:00-05:00,LONG,1,6.0,horizon,8.75,8.75,8.75,0.36723404202367255,False,neutral
2026-02-09 08:25:00-05:00,SHORT,4,6.5,take,95.0,95.0,95.0,0.7280410302203606,True,neutral
2026-02-11 08:54:00-05:00,SHORT,1,0.5,stop,-32.5,-32.5,-32.5,0.6556735106074496,True,neutral
2026-02-13 08:36:00-05:00,SHORT,1,2.25,stop,-32.5,-32.5,-32.5,0.2748296362506258,False,calm_trend
2026-02-17 08:55:00-05:00,SHORT,1,6.5,take,23.75,23.75,23.75,0.4149543304193665,False,neutral
2026-02-17 12:47:00-05:00,LONG,1,11.25,horizon,1.25,1.25,1.25,0.108520803469749,False,calm_trend
2026-02-18 08:05:00-05:00,LONG,1,10.25,horizon,13.75,13.75,13.75,0.7990294936491209,True,neutral
2026-02-18 08:40:00-05:00,LONG,1,0.0,stop,-57.5,-57.5,-57.5,0.6986008280924505,True,neutral
2026-02-18 08:52:00-05:00,LONG,4,5.25,horizon,15.0,15.0,15.0,0.6296844013551686,True,calm_trend
2026-02-19 08:10:00-05:00,LONG,4,1.5,stop,-230.0,-230.0,-230.0,0.5463634812105498,False,neutral
2026-02-19 08:30:00-05:00,LONG,10,13.5,horizon,250.0,250.0,250.0,0.7580311207390278,True,neutral
2026-02-20 08:25:00-05:00,LONG,1,6.25,stop,-57.5,-57.5,-57.5,0.4433944337746914,False,neutral
2026-02-20 08:35:00-05:00,LONG,1,1.75,stop,-57.5,-57.5,-57.5,0.2138768376022123,False,calm_trend
2026-02-20 08:49:00-05:00,LONG,4,11.75,horizon,-85.0,-25.0,-85.0,0.6081285275789177,True,calm_trend
2026-02-20 12:18:00-05:00,LONG,4,0.5,stop,-230.0,-230.0,-230.0,0.42400285274716737,False,whipsaw
2026-02-20 12:26:00-05:00,LONG,4,30.25,take,470.0,470.0,470.0,0.3224941176438811,False,whipsaw
2026-02-23 12:47:00-05:00,LONG,10,22.5,horizon,1000.0,1000.0,1000.0,0.31148297734267494,False,neutral
2026-02-24 12:46:00-05:00,LONG,10,9.25,horizon,75.0,75.0,75.0,0.7540742284902636,True,neutral
